employee_id,department,work_arrangement,tenure_years,role_level,task_complexity,collaboration_score,autonomy_score,monthly_output,satisfaction,retention_risk
E001,Engineering,hybrid,3.2,senior,high,medium,high,112,4.2,low
E002,Engineering,remote,5.1,senior,high,low,high,108,4.5,low
E003,Engineering,office,1.8,junior,medium,high,medium,95,3.8,medium
E004,Marketing,hybrid,2.4,mid,medium,high,medium,103,4.0,low
E005,Marketing,remote,4.0,senior,medium,medium,high,98,4.3,low
E006,Marketing,office,0.9,junior,low,high,low,88,3.5,high
E007,Sales,hybrid,3.8,mid,low,high,medium,115,3.9,medium
E008,Sales,remote,2.1,mid,low,medium,medium,92,3.6,high
E009,Sales,office,5.5,senior,medium,high,high,121,4.1,low
E010,Product,hybrid,4.2,senior,high,high,high,118,4.4,low
E011,Product,remote,1.5,junior,high,medium,medium,89,3.7,medium
E012,Product,office,3.0,mid,high,high,medium,101,3.9,medium
E013,Engineering,hybrid,6.1,lead,high,medium,high,125,4.6,low
E014,Engineering,remote,2.8,mid,medium,low,high,105,4.1,low
E015,Engineering,office,4.5,senior,high,high,medium,110,3.7,medium
E016,HR,hybrid,3.3,mid,medium,high,medium,97,4.0,low
E017,HR,remote,1.2,junior,low,medium,low,82,3.4,high
E018,HR,office,7.0,senior,medium,high,high,104,4.2,low
E019,Finance,hybrid,2.6,mid,high,low,high,109,4.1,low
E020,Finance,remote,4.8,senior,high,low,high,113,4.5,low
E021,Finance,office,1.4,junior,medium,medium,low,91,3.6,medium
E022,Engineering,hybrid,3.9,mid,high,medium,high,114,4.3,low
E023,Engineering,remote,5.7,lead,high,low,high,119,4.7,low
E024,Marketing,hybrid,2.0,junior,low,high,medium,96,3.8,medium
E025,Marketing,remote,3.5,mid,medium,medium,medium,94,4.0,low
E026,Sales,hybrid,4.1,senior,medium,high,high,120,4.2,low
E027,Sales,remote,1.7,junior,low,low,low,78,3.2,high
E028,Product,hybrid,5.3,lead,high,high,high,128,4.8,low
E029,Product,remote,2.3,mid,medium,medium,medium,99,3.9,medium
E030,Product,office,3.6,senior,high,high,medium,107,3.8,medium
E031,Engineering,hybrid,4.7,senior,high,medium,high,117,4.4,low
E032,Engineering,office,2.2,mid,medium,high,medium,100,3.6,medium
E033,Marketing,hybrid,3.1,mid,medium,high,medium,102,4.1,low
E034,Finance,hybrid,5.9,lead,high,medium,high,122,4.5,low
E035,Finance,remote,3.4,mid,high,low,high,111,4.3,low
E036,HR,hybrid,2.7,mid,medium,high,medium,98,4.0,low
E037,Engineering,remote,6.3,lead,high,low,high,121,4.6,low
E038,Sales,office,4.4,senior,medium,high,high,118,4.0,low
E039,Product,hybrid,1.9,junior,medium,high,medium,93,3.8,medium
E040,Engineering,hybrid,3.5,mid,high,medium,high,113,4.2,low
